Is_question_about_rice_gene,gene_target,Q5.解释水稻x基因是什么？,Q6.水稻x基因的亚细胞位置在哪里？,Q7.预测水稻x基因具有什么功能？,Q8.水稻x基因有哪些功能已经被实验验证过?,Q9.简要介绍x基因在水稻组织的表达模式
TRUE,ARE1,水稻中的ARE1基因是指什么？能否说明一下？,ARE1基因在水稻细胞内的定位是？,水稻中的ARE1基因可能有什么功能？,能详细说明水稻ARE1基因经过实验验证的功能吗？,能详细说明ARE1基因在水稻组织中的表达特征吗？
TRUE,ARE1,能否介绍一下水稻ARE1基因的含义？,水稻的ARE1基因在亚细胞水平上分布在哪里？,能说说水稻ARE1基因的预测功能吗？,ARE1基因在水稻中有啥功能已经被验证了？,ARE1基因在水稻组织中是如何表达的？
TRUE,ARE1,什么是水稻的ARE1基因？请详细说明。,水稻ARE1基因的亚细胞定位是什么？,你觉得水稻的ARE1基因会有什么功能？,你知道水稻ARE1基因哪些功能被证实了吗？,可以介绍一下ARE1基因在水稻不同组织中的表达情况吗？
TRUE,ARE1,请问水稻的ARE1基因是什么？,能解释一下水稻ARE1基因在细胞中的位置吗？,预计水稻ARE1基因会有什么作用？,哪些功能已经在水稻ARE1基因上被实验验证？,ARE1基因在水稻的哪部分表达？
TRUE,ARE1,ARE1基因在水稻中代表什么？可以解释一下吗？,水稻中ARE1基因在细胞内的哪个部位？,能预测水稻ARE1基因的作用吗？,请问水稻ARE1基因被实验验证的功能是什么？,你能说说ARE1基因在水稻不同部位的表达吗？
TRUE,ARE1,你能说明一下水稻ARE1基因的具体含义吗？,水稻细胞里ARE1基因的位置是哪里？,您能分析一下水稻ARE1基因可能具备的功能吗？,水稻ARE1基因有哪些功能被证实了？,水稻中ARE1基因是怎么表达的？
TRUE,ARE1,水稻的ARE1基因是啥？,请问水稻ARE1基因在细胞的哪个部分？,这水稻的ARE1基因能起啥作用？,已经被实验验证的水稻ARE1基因功能有哪些？,ARE1基因在水稻哪些地方有表达？
TRUE,ARE1,水稻中的ARE1基因具体是啥？,水稻的ARE1基因在细胞内部的什么位置？,您能解释一下水稻ARE1基因可能的功能吗？,实验已经验证了水稻ARE1基因的哪些功能？,水稻的ARE1基因在哪些组织中有表达？
TRUE,ARE1,说说水稻的ARE1基因吧。,说说水稻ARE1基因的亚细胞定位吧。,我们能预测水稻ARE1基因的功能吗？,ARE1基因在水稻里有什么用处？,ARE1基因在水稻组织中的表达情况如何？
TRUE,ARE1,这个水稻的ARE1基因是啥意思？,请问水稻ARE1基因在细胞中的分布位置？,ARE1基因在水稻中预计能起什么作用？,水稻ARE1基因的功能有哪几个是被验证过的？,能讲讲ARE1基因在水稻不同组织中的表达模式吗？
TRUE,ARE1,Can you explain what the rice gene ARE1 is?,Where is the ARE1 gene located within the rice cell?,What are the predicted functions of the rice ARE1 gene?,Can you specify the functions of the rice ARE1 gene that were confirmed through biological experiments?,What are the observed expression patterns of ARE1?
TRUE,ARE1,Could you tell me about the rice gene ARE1?,Can you tell me the subcellular location of the ARE1 gene in rice?,Can you provide details on the possible functions of the rice ARE1 gene?,What biological functions of the rice ARE1 gene have been experimentally validated?,Can you explain how the gene ARE1 is expressed in different tissues?
TRUE,ARE1,What is ARE1 in rice?,Where exactly is the ARE1 gene found in rice cells?,What are the anticipated roles of the ARE1 gene in rice?,What experimental evidence supports the functions of the rice gene ARE1?,What is the expression profile of the ARE1 gene?
TRUE,ARE1,"Explain the ARE1 gene in rice, please.",In which part of the cell is the ARE1 gene located in rice?,Can you tell me what the ARE1 gene is supposed to do in rice?,"What does the ARE1 gene in rice actually do, based on experiments?",How does the ARE1 gene show up in the plants?
TRUE,ARE1,Can you tell me what ARE1 is in rice?,What is the subcellular distribution of the rice gene ARE1?,What are the likely uses of the rice ARE1 gene?,Which functions of the ARE1 gene in rice were shown by biological tests?,What parts of the plant express the ARE1 gene?
TRUE,ARE1,What exactly is the rice ARE1 gene?,Where does the ARE1 gene reside within the rice cell?,What are the possible functions of the ARE1 gene in rice?,What roles of the ARE1 gene in rice have been confirmed by experiments?,Can you tell me where the ARE1 gene is active in the plant?
TRUE,ARE1,Tell me about ARE1 in rice.,Where is the ARE1 gene situated in rice at the subcellular level?,What could the ARE1 gene in rice be responsible for?,Can you tell me what the rice ARE1 gene does according to biological experiments?,Where can we see the ARE1 gene being expressed?
TRUE,ARE1,What's the deal with the ARE1 gene in rice?,Where in rice cells is the ARE1 gene located?,What are the expected functions of the rice gene ARE1?,What functions of the rice ARE1 gene were proven by biological tests?,Which areas of the plant show ARE1 gene activity?
TRUE,ARE1,Can you break down what the ARE1 gene is in rice?,Can you identify the subcellular compartment for the ARE1 gene in rice?,What might the rice ARE1 gene do?,Can you share which functions of the rice gene ARE1 were verified by experiments?,How is the ARE1 gene expressed in different tissues?
TRUE,ARE1,Can you provide a detailed explanation of the rice ARE1 gene?,Could you specify the subcellular location of the ARE1 gene in rice?,What functions are hypothesized for the ARE1 gene in rice?,What experimental results support the functions of the rice gene ARE1?,In which tissues is the ARE1 gene expressed?
TRUE,AGIS_Os01g017610,你知道AGIS_Os01g017610是什么东西？说是个关于水稻的基因。,AGIS_Os01g017610基因在水稻细胞中的亚细胞位置在哪里？,你能预测一下水稻基因AGIS_Os01g017610的功能吗？,已有实验验证了水稻基因AGIS_Os01g017610的哪些功能？,请简要说明AGIS_Os01g017610基因在水稻各组织中的表达情况。
TRUE,AGIS_Os01g017610,水稻基因AGIS_Os01g017610具体是指什么？,水稻基因AGIS_Os01g017610的亚细胞分布情况如何？,AGIS_Os01g017610在水稻中可能有哪些功能？,AGIS_Os01g017610在水稻中的功能有哪些被实验证实？,水稻中基因AGIS_Os01g017610的表达模式是怎样的？可以简要介绍一下吗？
TRUE,AGIS_Os01g017610,你能介绍一下水稻基因AGIS_Os01g017610吗？,水稻基因AGIS_Os01g017610的亚细胞分布在哪些区域？,对于水稻基因AGIS_Os01g017610，能否推测出它的潜在功能？,哪些功能已经通过实验验证了AGIS_Os01g017610在水稻中的作用？,你能简单总结一下AGIS_Os01g017610在水稻组织中的表达特点吗？
TRUE,AGIS_Os01g017610,AGIS_Os01g017610基因在水稻里是啥意思？,水稻里的AGIS_Os01g017610基因在细胞里的位置在哪里？,根据现有数据，AGIS_Os01g017610基因在水稻中可能具有什么功能？,AGIS_Os01g017610基因在水稻中的实验验证结果是什么？,AGIS_Os01g017610基因在水稻组织中的表达模式是什么？请简要介绍。
TRUE,AGIS_Os01g017610,水稻里的AGIS_Os01g017610基因是啥？,你知道水稻基因AGIS_Os01g017610的细胞位置吗？,你认为水稻基因AGIS_Os01g017610可能参与哪些功能？,水稻的AGIS_Os01g017610基因有哪些功能被证明过？,你能用简单的话说说AGIS_Os01g017610基因在水稻中的表达情况吗？
TRUE,AGIS_Os01g017610,你能说明一下水稻基因AGIS_Os01g017610吗？,水稻的AGIS_Os01g017610基因在细胞的哪个地方？,你觉得水稻基因AGIS_Os01g017610能起什么作用？,AGIS_Os01g017610这个基因的功能有哪些被试验证实了？,AGIS_Os01g017610这个基因在水稻的哪个部分有表达？
TRUE,AGIS_Os01g017610,什么是水稻基因AGIS_Os01g017610？,水稻基因AGIS_Os01g017610的亚细胞定位在哪里？,这个AGIS_Os01g017610基因在水稻里会有啥用？,水稻基因AGIS_Os01g017610的功能哪些已经被试验过？,AGIS_Os01g017610基因在水稻里面表达是个啥情况？
TRUE,AGIS_Os01g017610,AGIS_Os01g017610基因在水稻中是什么？,AGIS_Os01g017610在水稻细胞里的位置是什么？,你能猜到水稻里AGIS_Os01g017610基因的作用吗？,AGIS_Os01g017610在水稻中的哪些功能是被实验确认的？,能否简单描述一下AGIS_Os01g017610基因在水稻组织里的表达情况？
TRUE,AGIS_Os01g017610,介绍一下水稻的AGIS_Os01g017610基因好吗？,能解释一下水稻AGIS_Os01g017610基因在细胞中的位置吗？,AGIS_Os01g017610在水稻中可能有什么用途？,水稻基因AGIS_Os01g017610的哪些功能通过了实验验证？,请问AGIS_Os01g017610基因在水稻组织中的表达模式是什么？
TRUE,AGIS_Os01g017610,能解释水稻基因AGIS_Os01g017610吗？,说说水稻ARE1基因的亚细胞定位吧。,你觉得水稻基因AGIS_Os01g017610能起什么作用？,哪些功能被实验验证过在水稻基因AGIS_Os01g017610上？,AGIS_Os01g017610基因在水稻组织中的表达模式，能简单讲解一下吗？
