品种名称,物种学名,物种中文名称
爱知旭,Oryza sativa,水稻
AichiAsahi,Oryza sativa,水稻
特特普,Oryza sativa,水稻
Tetep,Oryza sativa,水稻
华占,Oryza sativa,水稻
绵恢501,Oryza sativa,水稻
泸恢17,Oryza sativa,水稻
江恢151,Oryza sativa,水稻
桂99,Oryza sativa,水稻
广恢128,Oryza sativa,水稻
恩恢58,Oryza sativa,水稻
测64,Oryza sativa,水稻
中9B,Oryza sativa,水稻
中9A,Oryza sativa,水稻
优ⅠB,Oryza sativa,水稻
协青早A,Oryza sativa,水稻
金23B,Oryza sativa,水稻
金23A,Oryza sativa,水稻
丰源A,Oryza sativa,水稻
中鉴100,Oryza sativa,水稻
粗秆芦晚,Oryza sativa,水稻
长脚矮红,Oryza sativa,水稻
长秆白稻,Oryza sativa,水稻
变异粒,Oryza sativa,水稻
矮紫白,Oryza sativa,水稻
野猪晚,Oryza sativa,水稻
六谷白,Oryza sativa,水稻
黄壳晚,Oryza sativa,水稻
白壳晚,Oryza sativa,水稻
黄秆稻,Oryza sativa,水稻
赤壳稻,Oryza sativa,水稻
震泽种,Oryza sativa,水稻
一字种,Oryza sativa,水稻
硬秆田鸡青,Oryza sativa,水稻
野苗稻,Oryza sativa,水稻
铁秆红稻,Oryza sativa,水稻
铁秆红,Oryza sativa,水稻
罗紫红,Oryza sativa,水稻
老来红,Oryza sativa,水稻
金谷红,Oryza sativa,水稻
大洋稻,Oryza sativa,水稻
巴斯马蒂198,Oryza sativa,水稻
Basmati198,Oryza sativa,水稻
金优725,Oryza sativa,水稻
孝早糯08,Oryza sativa,水稻
中优桂99,Oryza sativa,水稻
新香优80,Oryza sativa,水稻
威优46,Oryza sativa,水稻
特优559,Oryza sativa,水稻
特优63,Oryza sativa,水稻
汕优晚3,Oryza sativa,水稻
汕优桂99,Oryza sativa,水稻
汕优77,Oryza sativa,水稻
汕优63,Oryza sativa,水稻
金优桂99,Oryza sativa,水稻
金优928,Oryza sativa,水稻
金优77,Oryza sativa,水稻
金优63,Oryza sativa,水稻
